Pressure_PSI,Pressure_BAR
1016.10,70.06
1016.10,70.06
1016.10,70.06
1016.10,70.06
1016.10,70.06
1016.10,70.06
1016.10,70.06
1016.10,70.06
1016.10,70.06
1016.10,70.06
1025.62,70.71
1016.10,70.06
1016.10,70.06
1025.62,70.71
1025.62,70.71
1035.13,71.37
1035.13,71.37
1035.13,71.37
1035.13,71.37
1035.13,71.37
1035.13,71.37
1044.64,72.03
1044.64,72.03
1044.64,72.03
1044.64,72.03
1044.64,72.03
1044.64,72.03
1044.64,72.03
1054.15,72.68
1044.64,72.03
1054.15,72.68
1054.15,72.68
1054.15,72.68
1054.15,72.68
1054.15,72.68
1054.15,72.68
1054.15,72.68
1063.66,73.34
1063.66,73.34
1063.66,73.34
1063.66,73.34
1063.66,73.34
1063.66,73.34
1073.18,73.99
1073.18,73.99
1073.18,73.99
1073.18,73.99
1073.18,73.99
1073.18,73.99
1073.18,73.99
1073.18,73.99
1073.18,73.99
1082.69,74.65
1082.69,74.65
1082.69,74.65
1082.69,74.65
1082.69,74.65
1082.69,74.65
1092.20,75.30
1092.20,75.30
1092.20,75.30
1092.20,75.30
1092.20,75.30
1092.20,75.30
1092.20,75.30
1101.71,75.96
1101.71,75.96
1101.71,75.96
1101.71,75.96
1101.71,75.96
1111.22,76.62
1111.22,76.62
1111.22,76.62
1111.22,76.62
1111.22,76.62
1120.73,77.27
1120.73,77.27
1120.73,77.27
1120.73,77.27
1120.73,77.27
1130.25,77.93
1130.25,77.93
1130.25,77.93
1130.25,77.93
1130.25,77.93
1139.76,78.58
1139.76,78.58
1139.76,78.58
1149.27,79.24
1149.27,79.24
1149.27,79.24
1149.27,79.24
1158.78,79.90
1158.78,79.90
1158.78,79.90
1168.29,80.55
1168.29,80.55
1168.29,80.55
1168.29,80.55
1177.80,81.21
1177.80,81.21
1187.32,81.86
1187.32,81.86
1187.32,81.86
1196.83,82.52
1196.83,82.52
1206.34,83.17
1206.34,83.17
1206.34,83.17
1215.85,83.83
1225.36,84.49
1234.88,85.14
1234.88,85.14
1234.88,85.14
1244.39,85.80
1244.39,85.80
1253.90,86.45
1253.90,86.45
1263.41,87.11
1272.92,87.76
1272.92,87.76
1282.43,88.42
1291.95,89.08
1301.46,89.73
1310.97,90.39
1310.97,90.39
1320.48,91.04
1329.99,91.70
1339.50,92.36
1349.02,93.01
1358.53,93.67
1368.04,94.32
1377.55,94.98
1387.06,95.63
1396.58,96.29
1415.60,97.60
1425.11,98.26
1434.62,98.91
1453.65,100.23
1463.16,100.88
1472.67,101.54
1491.69,102.85
1501.20,103.50
1520.23,104.82
1539.25,106.13
1548.76,106.78
1567.79,108.10
1586.81,109.41
1605.83,110.72
1615.35,111.37
1634.37,112.69
1643.88,113.34
1662.90,114.65
1624.86,112.03
1596.32,110.06
1567.79,108.10
1548.76,106.78
1586.81,109.41
1624.86,112.03
1643.88,113.34
1662.90,114.65
1662.90,114.65
1672.42,115.31
1662.90,114.65
1643.88,113.34
1567.79,108.10
1482.18,102.19
1415.60,97.60
1349.02,93.01
1301.46,89.73
1263.41,87.11
1225.36,84.49
1196.83,82.52
1177.80,81.21
1158.78,79.90
1149.27,79.24
1139.76,78.58
1130.25,77.93
1120.73,77.27
1120.73,77.27
1111.22,76.62
1111.22,76.62
1111.22,76.62
1111.22,76.62
1101.71,75.96
1101.71,75.96
1101.71,75.96
1092.20,75.30
1092.20,75.30
1111.22,76.62
1120.73,77.27
1120.73,77.27
1130.25,77.93
1130.25,77.93
1130.25,77.93
1130.25,77.93
1130.25,77.93
1139.76,78.58
1139.76,78.58
1139.76,78.58
1139.76,78.58
1139.76,78.58
1139.76,78.58
1139.76,78.58
1149.27,79.24
1139.76,78.58
1139.76,78.58
1139.76,78.58
1139.76,78.58
1149.27,79.24
1139.76,78.58
1139.76,78.58
1149.27,79.24
1139.76,78.58
1149.27,79.24
1149.27,79.24
1139.76,78.58
1149.27,79.24
1139.76,78.58
1139.76,78.58
1149.27,79.24
1139.76,78.58
1149.27,79.24
1139.76,78.58
1149.27,79.24
1149.27,79.24
1139.76,78.58
1130.25,77.93
1130.25,77.93
1130.25,77.93
1130.25,77.93
1130.25,77.93
1130.25,77.93
1120.73,77.27
1120.73,77.27
1120.73,77.27
1120.73,77.27
1111.22,76.62
1120.73,77.27
1111.22,76.62
1111.22,76.62
1111.22,76.62
1111.22,76.62
1111.22,76.62
1111.22,76.62
1111.22,76.62
1111.22,76.62
1101.71,75.96
1101.71,75.96
1101.71,75.96
1101.71,75.96
1101.71,75.96
1101.71,75.96
1101.71,75.96
1101.71,75.96
1101.71,75.96
1092.20,75.30
1092.20,75.30
1092.20,75.30
1092.20,75.30
1092.20,75.30
