Pressure_PSI,Pressure_BAR
1035.13,71.37
1035.13,71.37
1035.13,71.37
1035.13,71.37
1035.13,71.37
1035.13,71.37
1035.13,71.37
1035.13,71.37
1035.13,71.37
1035.13,71.37
1044.64,72.03
1044.64,72.03
1044.64,72.03
1044.64,72.03
1044.64,72.03
1044.64,72.03
1044.64,72.03
1044.64,72.03
1044.64,72.03
1054.15,72.68
1054.15,72.68
1054.15,72.68
1054.15,72.68
1054.15,72.68
1054.15,72.68
1054.15,72.68
1054.15,72.68
1054.15,72.68
1054.15,72.68
1063.66,73.34
1063.66,73.34
1063.66,73.34
1063.66,73.34
1063.66,73.34
1063.66,73.34
1063.66,73.34
1063.66,73.34
1073.18,73.99
1073.18,73.99
1073.18,73.99
1073.18,73.99
1073.18,73.99
1073.18,73.99
1073.18,73.99
1073.18,73.99
1082.69,74.65
1082.69,74.65
1082.69,74.65
1082.69,74.65
1082.69,74.65
1082.69,74.65
1082.69,74.65
1082.69,74.65
1082.69,74.65
1092.20,75.30
1092.20,75.30
1092.20,75.30
1092.20,75.30
1092.20,75.30
1101.71,75.96
1101.71,75.96
1101.71,75.96
1101.71,75.96
1101.71,75.96
1101.71,75.96
1111.22,76.62
1111.22,76.62
1111.22,76.62
1111.22,76.62
1111.22,76.62
1111.22,76.62
1120.73,77.27
1120.73,77.27
1120.73,77.27
1120.73,77.27
1130.25,77.93
1130.25,77.93
1130.25,77.93
1130.25,77.93
1130.25,77.93
1139.76,78.58
1139.76,78.58
1139.76,78.58
1139.76,78.58
1149.27,79.24
1149.27,79.24
1149.27,79.24
1158.78,79.90
1158.78,79.90
1158.78,79.90
1168.29,80.55
1168.29,80.55
1168.29,80.55
1177.80,81.21
1177.80,81.21
1177.80,81.21
1187.32,81.86
1187.32,81.86
1196.83,82.52
1196.83,82.52
1206.34,83.17
1206.34,83.17
1215.85,83.83
1215.85,83.83
1225.36,84.49
1234.88,85.14
1234.88,85.14
1234.88,85.14
1244.39,85.80
1253.90,86.45
1253.90,86.45
1263.41,87.11
1272.92,87.76
1282.43,88.42
1291.95,89.08
1301.46,89.73
1310.97,90.39
1320.48,91.04
1329.99,91.70
1339.50,92.36
1349.02,93.01
1358.53,93.67
1368.04,94.32
1387.06,95.63
1396.58,96.29
1406.09,96.95
1425.11,98.26
1444.13,99.57
1453.65,100.23
1472.67,101.54
1491.69,102.85
1510.72,104.16
1529.74,105.47
1558.28,107.44
1577.30,108.75
1596.32,110.06
1624.86,112.03
1653.39,114.00
1672.42,115.31
1700.95,117.28
1739.00,119.90
1758.02,121.21
1796.07,123.83
1834.12,126.46
1872.16,129.08
1843.63,127.11
1815.09,125.15
1796.07,123.83
1777.05,122.52
1786.56,123.18
1824.60,125.80
1853.14,127.77
1881.67,129.74
1891.19,130.39
1910.21,131.70
1929.23,133.02
1938.75,133.67
1957.77,134.98
1967.28,135.64
1986.30,136.95
1995.82,137.61
2014.84,138.92
2024.35,139.57
2033.86,140.23
2043.37,140.89
2052.89,141.54
2052.89,141.54
2052.89,141.54
2043.37,140.89
2033.86,140.23
2033.86,140.23
2033.86,140.23
2033.86,140.23
2033.86,140.23
2033.86,140.23
2043.37,140.89
2043.37,140.89
2043.37,140.89
2033.86,140.23
2033.86,140.23
2033.86,140.23
2043.37,140.89
2033.86,140.23
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2033.86,140.23
2043.37,140.89
2033.86,140.23
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2033.86,140.23
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2033.86,140.23
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2033.86,140.23
2043.37,140.89
2043.37,140.89
2043.37,140.89
2033.86,140.23
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2033.86,140.23
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2033.86,140.23
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2033.86,140.23
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2052.89,141.54
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2043.37,140.89
2033.86,140.23
2033.86,140.23
2043.37,140.89
2033.86,140.23
2033.86,140.23
2033.86,140.23
2033.86,140.23
2033.86,140.23
2033.86,140.23
2033.86,140.23
2033.86,140.23
2024.35,139.57
2024.35,139.57
2033.86,140.23
2024.35,139.57
2033.86,140.23
2024.35,139.57
2024.35,139.57
2024.35,139.57
2024.35,139.57
2024.35,139.57
2024.35,139.57
2024.35,139.57
2024.35,139.57
2014.84,138.92
2024.35,139.57
2024.35,139.57
2024.35,139.57
2014.84,138.92
2024.35,139.57
2024.35,139.57
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2014.84,138.92
2005.33,138.26
2005.33,138.26
2005.33,138.26
2005.33,138.26
2005.33,138.26
2005.33,138.26
2005.33,138.26
2005.33,138.26
2005.33,138.26
