WEIGHT_GRAMS
G          0.000 g
G     +    6.577 g
G     +    6.574 g
G     +    6.575 g
G     +    6.577 g
G     +    6.581 g
G     +    6.583 g
G     +    6.585 g
G     +    6.589 g
G     +    6.591 g
G     +    6.590 g
G     +    6.586 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G     +    6.568 g
G          0.000 g
G     +    0.001 g
G     +    0.002 g
G     +    6.572 g
G          0.000 g
G          0.000 g
G          0.000 g
G     +    0.001 g
G     +    0.395 g
G     +    0.395 g
G     +    0.623 g
G     +    1.213 g
G     +    1.211 g
G     +    1.557 g
G     +    1.557 g
G     +    1.558 g
G     +    2.038 g
G     +    2.028 g
G     +    2.028 g
G     +    1.994 g
G     +    1.995 g
G     +    1.995 g
G     +    2.003 g
G     +    2.005 g
G     +    2.005 g
G     +    2.006 g
G     +    2.006 g
G     +    2.006 g
G     +    2.008 g
G     +    1.998 g
G     +    1.998 g
G     +    2.006 g
G     +    2.005 g
G     +    2.005 g
G     +    2.005 g
G     +    2.005 g
G     +    2.005 g
G     +    2.006 g
G     +    2.006 g
G     +    1.991 g
G     +    1.991 g
G     +    1.992 g
G     +    1.992 g
G     +    1.992 g
G     +    1.993 g
G     +    1.995 g
G     +    1.998 g
G     +    2.001 g
G     +    2.002 g
G     +    2.005 g
G     +    2.005 g
G     +    2.006 g
G     +    2.006 g
G     +    2.006 g
G     +    2.005 g
G     +    2.005 g
G     +    1.702 g
G     +    1.796 g
G     +    2.199 g
G     +    2.162 g
G     +    2.231 g
G     +    2.229 g
G     +    2.003 g
G     +    2.004 g
G     +    2.004 g
G     +    2.000 g
G     +    2.001 g
G     +    2.001 g
G     -    6.571 g
G     -    6.570 g
G     -    6.569 g
G     -    6.569 g
G     -    6.569 g
G     -    6.569 g
G          0.000 g
G          0.000 g
G          0.000 g
G          0.000 g
G          0.000 g
G          0.000 g
